"[1.0, 1.0, 0.0]","[0.7565134379393895, 1.0, 5.885620324431817]","[0.4826281994787718, 1.1150114993521252, 0.0646525054655589]","[0.40755158558779037, 1.1101508338336747, 0.5598485751186494]","[0.37298386575168546, 1.0884859091435954, 1.055115587851227]","[0.36583199844175357, 1.075868842013929, 1.5502896204800924]","[0.36552315108319017, 1.0608101553613658, 2.0454839469669706]","[0.3815575693925362, 1.0296073330967812, 2.5408445022152004]","[0.4566462400374479, 0.9781538960927832, 3.0365574989849216]","[0.6486519363687813, 0.9579120546999809, 3.532672109195922]","[0.953307466377678, 1.0835268072244457, 4.023958145155119]","[1.0269840541100603, 1.1730812697658755, 3.877788719260518]","[1.0108534646507048, 1.1584647257280365, 3.558073320545021]","[0.9997770907165077, 1.1535650034455476, 3.282367926736571]","[0.9903482219464821, 1.152228813457814, 3.059375602321444]","[0.9806621033995409, 1.1530269768071897, 2.89847609282812]","[0.9696171934330094, 1.1557663622665695, 2.8179597244257937]","[0.9567171078119325, 1.1600933886629212, 2.843811378896595]","[0.9428225589976951, 1.1643577212920184, 2.9956683015787986]","[0.9317019837706382, 1.1659921013117889, 3.26002087506407]","[0.9279929504214763, 1.165550781953307, 3.587792653592968]","[0.9284767493188525, 1.1657822201845642, 3.930573876974195]","[0.9282886876338494, 1.1655928059749991, 4.271923719599495]","[0.9283647065851099, 1.1657540855074928, 4.61357146795245]","[0.9283533158718162, 1.1656391907640378, 4.955320443791826]","[0.9283412146325286, 1.1656880203511029, 5.296816899036921]","[0.9283428349504264, 1.165685570948285, 5.638492165495178]","[0.9283438710147432, 1.1656847919685966, 5.9801541938887235]","[0.9283451153360014, 1.1656844029184477, 0.038624508843041916]","[0.9283471599848633, 1.1656844819313015, 0.380273866132271]","[0.9283510879439191, 1.1656860520556018, 0.7219148074744685]","[0.9283588403913139, 1.1656928777860758, 1.0635432900722832]","[0.9283721348085394, 1.1657167990287747, 1.4051569308402727]","[0.9283841671123382, 1.165788775027334, 1.7467770778807097]","[0.9283523457646601, 1.165967727401995, 2.0885347217964005]","[0.9281596339939499, 1.1663060778147143, 2.4308932812565454]","[0.9276695924412897, 1.1667278788554738, 2.774934599633257]","[0.9270066606773574, 1.1669824601808976, 3.1220737194797383]","[0.9266735598581776, 1.166988962779666, 3.472554418221482]","[0.9267337493150178, 1.1670096438664428, 3.8244193171860115]","[0.9267071081278787, 1.166987975331175, 4.176091025429319]","[0.9267193667327928, 1.1670085985306007, 4.527816210468076]","[0.9267165048218232, 1.1669932694118401, 4.879544088384016]","[0.926715469181815, 1.166999407282578, 5.23124439455737]","[0.9267153985656965, 1.1669995309442232, 5.582964666454067]","[0.9267153370861584, 1.1669995827509165, 5.934685544117218]","[0.9267152494630516, 1.1669996145869574, 0.003221498867779893]","[0.9267150877079965, 1.1669996140658618, 0.35494320084764497]","[0.9267147509103552, 1.166999489235006, 0.7066655632448917]","[0.9267140525180332, 1.1669988929844262, 1.0583889836411953]","[0.9267128360015194, 1.1669967303789093, 1.410113733393815]","[0.9267117883056379, 1.16699026630886, 1.7618379186681352]","[0.9267147420783093, 1.166974993454403, 2.113549826687556]","[0.9267303571916657, 1.166949105415847, 2.465210505062327]","[0.9267632720062081, 1.1669226848548593, 2.8167408639849816]","[0.9267952898568151, 1.1669119017958165, 3.1680684943889705]","[0.9268030476269906, 1.1669121072373096, 3.5192370323046047]","[0.9268012680366756, 1.1669114013025381, 3.8703742462819397]","[0.9268020834545038, 1.1669121292470026, 4.2215169521802105]","[0.9268017209600075, 1.1669114510645247, 4.572658181844359]","[0.9268017882368518, 1.1669119294015895, 4.923799155946931]","[0.9268018241314753, 1.1669117621520142, 5.27494108389349]","[0.9268018319018406, 1.166911749828087, 5.626082434352963]","[0.9268018392395407, 1.1669117441672485, 5.977223721213921]","[0.926801850122065, 1.166911740729672, 0.045179656208172325]","[0.9268018706272364, 1.1669117416567196, 0.3963208448566551]","[0.9268019135758427, 1.1669117596291272, 0.7474619516918133]","[0.9268020017775176, 1.1669118413803385, 1.098602928391391]","[0.9268021497270995, 1.1669121310638566, 1.4497437531533124]","[0.9268022525764102, 1.166912976534886, 1.800884715364334]","[0.9268017991141455, 1.1669149124503984, 2.1520274294731867]","[0.926799738245851, 1.1669180495732572, 2.503176983773061]","[0.9267957212669244, 1.1669210305095497, 2.8543430660462414]","[0.9267921859538877, 1.1669220749113673, 3.2055333028392763]","[0.9267915485448696, 1.166922034099387, 3.556740735706973]","[0.9267917177576136, 1.1669221086825372, 3.9079506798474273]","[0.9267916385062607, 1.166922032393061, 4.259160121192735]","[0.9267916724889, 1.166922102166363, 4.6103696917120605]","[0.9267916676838887, 1.16692205523083, 4.961579302107325]","[0.9267916640297262, 1.1669220695901814, 5.312788811575548]","[0.9267916628555586, 1.166922071304986, 5.663998372952806]","[0.9267916616716361, 1.1669220721487465, 6.015207943557226]","[0.9267916598554464, 1.1669220726474392, 0.0832322140102244]","[0.9267916563731233, 1.1669220723569265, 0.4344418003790327]","[0.9267916490482758, 1.1669220689581379, 0.7856514002938363]","[0.9267916341707739, 1.1669220540730991, 1.136861021535922]","[0.9267916102309547, 1.166922002411043, 1.4880706655786164]","[0.9267915980137639, 1.1669218550648834, 1.8392802750811414]","[0.9267916879398526, 1.1669215282114498, 2.1904895559715194]","[0.9267920484682554, 1.166921022877606, 2.5416976275823195]","[0.9267926981683219, 1.1669205784939918, 2.8929029204294334]","[0.926793210984312, 1.1669204482660678, 3.244104404219374]","[0.9267932722222298, 1.1669204545657565, 3.5953034483231994]","[0.9267932538744489, 1.1669204456186448, 3.9465022572611703]","[0.9267932626045311, 1.1669204546962242, 4.297701118510215]","[0.9267932590273407, 1.1669204465702356, 4.648899967260913]","[0.9267932593567701, 1.166920451752025, 5.000098809805361]","[0.9267932597563233, 1.16692045040182, 5.35129766431838]","[0.9267932599222554, 1.1669204501784476, 5.702496513720414]","[0.9267932601000872, 1.1669204500617627, 6.053695361867133]","[0.9267932603817496, 1.166920449995965, 0.12170890180436889]"
"[1.0, 1.0, 0.0]","[1.0093309581737948, 1.0, 0.4187610282620793]","[1.0245853912405216, 1.0067895545958474, 0.8449111636632568]","[1.0482279551656348, 1.0334280319521383, 1.2811171775667547]","[1.0717450757699405, 1.1123277586821332, 1.7289836476470621]","[1.0422386444410905, 1.2972977311549858, 2.180610563464332]","[0.8425297481454688, 1.583150548921458, 2.6599629914703495]","[0.48356992223871326, 1.7707730934834214, 3.140350754819951]","[0.5044125414600323, 1.770747209046943, 3.4544895549874917]","[0.5200600030052536, 1.7758095482918268, 3.772355069986492]","[0.5248012629582884, 1.7792720103187865, 4.097150004269605]","[0.5261522387588106, 1.7811835546221892, 4.4241650938080515]","[0.5266320841803189, 1.7828020320173021, 4.751594360479665]","[0.5265582021164681, 1.7846855542794453, 5.078912418069671]","[0.5255444730769737, 1.7873263748149093, 5.405660051392077]","[0.5222740114164727, 1.7912626576557793, 5.731003767973208]","[0.5137112190377594, 1.7965382866342505, 6.053260337926412]","[0.4954969517384624, 1.800801594894803, 0.08671117642049175]","[0.47004406623854106, 1.7985889970872975, 0.39822096696718845]","[0.45570360096524115, 1.792555995610432, 0.7146634606019202]","[0.4520938702006481, 1.7894239400314127, 1.0373157779451518]","[0.4512385534198581, 1.787975728245722, 1.3618152612901673]","[0.4510305348345825, 1.7869948668464024, 1.6867200753850629]","[0.45113463021504985, 1.786100928593065, 2.01168332693788]","[0.45159908414558964, 1.7851166336066915, 2.336529361040528]","[0.4527259392605916, 1.7839445640118017, 2.6610480003964545]","[0.4551980583958222, 1.782655840113416, 2.9848670983854237]","[0.46025041641621767, 1.7818574589157916, 3.3073059017381246]","[0.46940439044638316, 1.7833884333777807, 3.62733300068373]","[0.48270302043515134, 1.7904091655502472, 3.944175954820855]","[0.4981493731250412, 1.8063957507941992, 4.257193270707501]","[0.5097191847725699, 1.8300327275103383, 4.5682972283780705]","[0.5138615559892028, 1.8585816404806583, 4.87812839998728]","[0.5083905057908746, 1.8912887807509693, 5.1851323783356005]","[0.49205824299596257, 1.923223783319617, 5.4898030474928685]","[0.47403074258736977, 1.9415414733948342, 5.800034019940416]","[0.4706562159645482, 1.9433118271284493, 6.124100031580118]","[0.47118151362954036, 1.9432275478183971, 0.16790801604610195]","[0.4710740165621045, 1.9432093266391721, 0.494465206452923]","[0.4710878979640306, 1.9432168106227894, 0.8211068204519261]","[0.47108829799436885, 1.9432172402932273, 1.1477382082984042]","[0.4710883753170728, 1.9432174120277432, 1.4743693297672391]","[0.471088387579112, 1.9432175387973318, 1.8010004114779439]","[0.4710883566035357, 1.9432176709690132, 2.127631500049794]","[0.47108825267453364, 1.943217837909975, 2.454262631132048]","[0.47108798153650544, 1.9432180604755918, 2.7808938682680857]","[0.47108731322870867, 1.943218312561861, 3.1075253539160816]","[0.47108575773927946, 1.9432183655736952, 3.434157412884961]","[0.47108248346444115, 1.9432173793356455, 3.76079073567133]","[0.4710766671510144, 1.9432132340544708, 4.087426573583734]","[0.47106887352087107, 1.9432024309834572, 4.414066562766515]","[0.47106280488101, 1.9431826955110527, 4.7407114202512055]","[0.4710634929545614, 1.9431584077179471, 5.067358570445696]","[0.4710701211663528, 1.943140526038618, 5.394001951553594]","[0.47107511625952064, 1.9431343693858263, 5.72063761199529]","[0.47107584293644217, 1.9431339112128825, 6.047268422560462]","[0.4710757554642102, 1.9431339322406262, 0.09071327827430942]","[0.47107577347108603, 1.9431339338785842, 0.41734351461673824]","[0.47107577065705214, 1.9431339326308696, 0.7439737366281902]","[0.4710757706927568, 1.9431339326637322, 1.0706039607480633]","[0.4710757706984847, 1.9431339326742123, 1.3972341848434375]","[0.47107577069969697, 1.9431339326811268, 1.7238644089355701]","[0.47107577069865575, 1.9431339326878758, 2.0504946330276375]","[0.47107577069436624, 1.9431339326961212, 2.3771248571214385]","[0.4710757706828891, 1.9431339327071278, 2.7037550812197955]","[0.47107577065429246, 1.943133932720515, 3.0303853053288807]","[0.471075770586634, 1.9431339327280703, 3.3570155294628394]","[0.4710757704400321, 1.943133932695991, 3.683645753652458]","[0.4710757701668132, 1.943133932531452, 4.010275977956272]","[0.4710757697698541, 1.9431339320621817, 4.3369062024590574]","[0.4710757694022106, 1.9431339311295124, 4.66353642722048]","[0.47107576934012557, 1.9431339298596582, 4.990166652155572]","[0.4710757696458671, 1.9431339287874443, 5.316796876972881]","[0.47107576996188416, 1.9431339283298645, 5.643427101401382]","[0.47107577003931494, 1.943133928272243, 5.970057325514061]","[0.4710757700334147, 1.9431339282741535, 0.01350224237697617]","[0.4710757700345902, 1.9431339282741693, 0.3401324664244979]","[0.471075770034381, 1.9431339282740954, 0.6667626904710721]","[0.4710757700343917, 1.9431339282741038, 0.9933929145178055]","[0.47107577003439305, 1.9431339282741058, 1.3200231385645314]","[0.4710757700343933, 1.943133928274107, 1.6466533626112565]","[0.4710757700343932, 1.9431339282741082, 1.9732835866579819]","[0.47107577003439294, 1.943133928274109, 2.299913810704707]","[0.47107577003439166, 1.9431339282741102, 2.626544034751433]","[0.47107577003438866, 1.943133928274112, 2.9531742587981595]","[0.4710757700343811, 1.9431339282741134, 3.279804482844889]","[0.4710757700343645, 1.9431339282741111, 3.6064347068916245]","[0.47107577003433165, 1.9431339282740947, 3.9330649309383734]","[0.4710757700342808, 1.9431339282740432, 4.259695154985147]","[0.47107577003422646, 1.9431339282739315, 4.586325379031955]","[0.47107577003420537, 1.943133928273765, 4.9129556030787915]","[0.4710757700342379, 1.9431339282736049, 5.239585827125623]","[0.47107577003428575, 1.9431339282735227, 5.5662160511724075]","[0.47107577003430384, 1.943133928273507, 5.892846275219142]","[0.4710757700343029, 1.9431339282735074, 6.21947649926586]","[0.47107577003430323, 1.9431339282735074, 0.26292141613299247]","[0.47107577003430334, 1.9431339282735074, 0.589551640179711]","[0.47107577003430334, 1.9431339282735074, 0.9161818642264291]","[0.47107577003430334, 1.9431339282735074, 1.2428120882731473]","[0.47107577003430334, 1.9431339282735074, 1.5694423123198655]","[0.47107577003430334, 1.9431339282735074, 1.8960725363665838]"
"[1.0, 1.0, 0.0]","[1.4998855076853235, 1.0, 0.49999931990686397]","[1.8762753469966262, 1.2056223739912904, 0.9999977844595568]","[2.0502199570859054, 1.476523733280014, 1.4999965664697932]","[2.0710981206341508, 1.7709211594818122, 1.99999652682222]","[2.0897869935633793, 1.7300848523142027, 2.4999965259107935]","[2.0923638588988327, 1.7281598625036017, 2.9999965251014853]","[2.0954847953916724, 1.727714972730086, 3.4999965242959092]","[2.1009341706122795, 1.7297562088375606, 3.9999965234939543]","[2.1102547607690054, 1.7405477106443294, 4.499996522697593]","[2.1180843691142757, 1.7768555916931974, 4.999996521906944]","[2.093717076495165, 1.8592306433503287, 5.499996521068654]","[1.9804655977083168, 1.9719827940390786, 5.999996519804106]","[1.7802279065899174, 2.03025395778413, 0.2168112101044759]","[1.7891730330273492, 2.0322243325275746, 0.7168112072728829]","[1.7786365462121503, 2.0230423969627784, 1.2168112044160033]","[1.7891038355305107, 2.051366723119333, 1.7168112016184855]","[1.7973852844029061, 1.995053894624104, 2.216811198682053]","[1.7613582983199587, 2.042839151146222, 2.716811195969928]","[1.744786590680201, 2.0503348638199803, 3.2168111931202783]","[1.7098846036054716, 2.047704624973193, 3.7168111902697696]","[1.611864760960236, 1.984152886328482, 4.216811187497754]","[1.4434881311826322, 1.672675569998428, 4.716811185606973]","[1.445587162699688, 1.1980214712594563, 5.216811185421424]","[1.6745414002430388, 0.7832932007645075, 5.716811036762783]","[1.9367949475146955, 0.616535332422245, 6.216809491271595]","[2.2356324878498937, 0.5966705652273633, 0.4336225718342108]","[2.508132523797799, 0.722841585773096, 0.9336209929372181]","[2.707142115293149, 0.9917144167135423, 1.4336194327777398]","[2.7677137775312577, 1.4305000403980141, 1.9336174291991841]","[2.5934522261334365, 1.8895335543098903, 2.433617423649422]","[2.3244775048608255, 2.119779715783012, 2.9336174223588776]","[2.4738570493515017, 2.0882566582198563, 3.433617419369649]","[2.31502460593212, 2.0405085770518308, 3.9336174162334894]","[2.4108238313024684, 2.1375859369652983, 4.4336174139119215]","[2.413516743562205, 2.1469943194668604, 4.933617410591218]","[2.4113014752755118, 2.156843912101268, 5.433617407224747]","[2.397505526021203, 2.1725346133743555, 5.933617403816376]","[2.3438091738271893, 2.192109022554507, 0.15043209317510442]","[2.196554214890509, 2.1697885267299033, 0.6504320896744353]","[1.9925404412905499, 2.0145572164686443, 1.1504320864537843]","[1.8950613269067658, 1.7964877682401112, 1.6504320836651534]","[1.8772270139784166, 2.019962709778121, 2.1504320823197522]","[1.9541944128802706, 1.902392043592425, 2.650432079353487]","[2.0553692430186925, 1.8482756674752974, 3.1504320772917005]","[2.189352591558801, 1.8494600339091907, 3.65043207597311]","[2.319040812556048, 1.9218047925924546, 4.150432075028638]","[2.3573333279257414, 1.9826175500148742, 4.650432073708222]","[2.359938312533549, 2.0246088416851804, 5.1504320718609495]","[2.334578345938659, 2.078751442939173, 5.650432069627563]","[2.233795696502209, 2.1526594015077527, 6.150432066950794]","[1.9984702208283065, 2.1840844437707068, 0.3672467566524382]","[1.7334208931767405, 2.0821202067099023, 0.8672467530749834]","[1.7220228284952899, 2.0686850247694224, 1.36724675011106]","[1.72979171652724, 2.1063235007629997, 1.8672467472244614]","[1.7484310967453762, 2.0453010647458303, 2.3672467441680407]","[1.7200794312161407, 2.0730328564223117, 2.8672467413322975]","[1.6893899170503734, 2.0816701926939807, 3.367246738430722]","[1.6166440306751795, 2.0649703690012013, 3.8672467355703626]","[1.4335780318481472, 1.90256861555623, 4.367246733263289]","[1.2779774222181643, 1.4697834833462804, 4.8672467328194475]","[1.3546492262264693, 0.9786363896999504, 5.3672467326310755]","[1.653471406833467, 0.5894933106925869, 5.867244984616933]","[1.9295115807705199, 0.4675630411001621, 0.08405798279038823]","[2.2363282453747173, 0.49341434595112404, 0.5840560016340862]","[2.4871472506938845, 0.6592009302263313, 1.084054348259402]","[2.6408683683120953, 0.9496734946507999, 1.5840527885221296]","[2.6354876553967537, 1.3555433135628647, 2.0840510223600552]","[2.5186889643545465, 1.5627656239906738, 2.5840508753086553]","[2.4379093099026443, 1.6131341888603004, 3.0840508737536263]","[2.3844572215236375, 1.6162133163002084, 3.5840508728487808]","[2.381277206658689, 1.6147066664138638, 4.084050871786532]","[2.38112958253441, 1.6145034876033344, 4.584050870685802]","[2.381124361672459, 1.6144630306670338, 5.08405086958101]","[2.381130925458252, 1.614446190787731, 5.5840508684755195]","[2.381142814307248, 1.6144361945266932, 6.084050867369777]","[2.3811627634769224, 1.6144321686033911, 0.300865559084337]","[2.3811955190173117, 1.6144423321525505, 0.8008655579785084]","[2.3812407019596495, 1.6144889348934945, 1.3008655568730016]","[2.381273271989806, 1.614606650687354, 1.8008655557684823]","[2.38122718953792, 1.6148034022994329, 2.3008655546660735]","[2.3810565577113376, 1.6149940433944343, 2.800865553566714]","[2.3808606996149093, 1.6150634858952146, 3.3008655524697184]","[2.3807774606546355, 1.615050114928784, 3.8008655513729686]","[2.38076773502528, 1.6150425781446538, 4.300865550275617]","[2.38076726734768, 1.6150415065798973, 4.800865549178097]","[2.38076729475552, 1.615041197613514, 5.300865548080556]","[2.3807674007152713, 1.61504103883699, 5.800865546983011]","[2.380767579916406, 1.615040945013922, 0.01768023870587676]","[2.3807678811261703, 1.6150409503399374, 0.5176802376083285]","[2.3807683521227663, 1.6150412185657481, 1.0176802365107818]","[2.380768896945395, 1.615042101011283, 1.5176802354132415]","[2.3807689962701333, 1.615043969208081, 2.0176802343157183]","[2.3807677854170923, 1.6150464959370394, 2.5176802332182264]","[2.3807653533077224, 1.6150482466472615, 3.0176802321207705]","[2.3807634965911126, 1.6150484779023115, 3.5176802310233324]","[2.3807630246043217, 1.6150482915226556, 4.017680229925889]","[2.3807629932609284, 1.6150482539083257, 4.517680228828441]","[2.380762991906601, 1.6150482470407919, 5.017680227730992]","[2.380762992746649, 1.6150482443751855, 5.5176802266335425]","[2.380762994364154, 1.6150482428207877, 6.017680225536093]"
"[1.0, 1.0, 0.0]","[1.4997278044586153, 1.0, 0.4617264444123378]","[1.9473056128175803, 1.222715096044463, 0.5122923157366521]","[2.383048222534005, 1.4677645935381964, 0.6453679429201584]","[2.782202837893627, 1.7682964942766106, 1.0214943294326866]","[3.042130003183888, 2.1929133120070174, 1.5003711976261211]","[3.0771186301649207, 2.6889118839317074, 1.9922544346770295]","[2.8732606297369285, 3.143624648870439, 2.492210281950922]","[2.4762249781720236, 3.4450661433199263, 2.9922043162246448]","[1.983341673821032, 3.5192498328416275, 3.4921987793574143]","[1.5166113770367289, 3.348559311996058, 3.992198310246581]","[1.1922238239003051, 2.978846986944279, 4.492198201617915]","[1.0840561089227911, 2.495566509982516, 4.992198088874746]","[1.2217612717748358, 2.016338099837242, 5.4921975384658355]","[1.5724446409143207, 1.6617122897007555, 5.992196787721159]","[2.0499929537434944, 1.5186915117325661, 0.20896637341840218]","[2.5377254578671864, 1.622121089858803, 0.7032746541203084]","[2.9182115358589287, 1.944735897383818, 1.1621647877419394]","[3.1158104278107164, 2.4010788956138613, 1.649010597527933]","[3.0769238037089415, 2.8972453296063914, 2.14762718598636]","[2.805019573211437, 3.3151427015513066, 2.6476201600474343]","[2.3662702100094877, 3.5514099742691063, 3.147614888682708]","[1.8678943748802406, 3.548408601541332, 3.6476098626737485]","[1.4339311066146987, 3.307931598887165, 4.1476096268743925]","[1.1710125381441698, 2.8929897790971584, 4.6476095215316535]","[1.1389098256647583, 2.3981138502528614, 5.147609403433724]","[1.3491273017207577, 1.945989207621818, 5.647608874071228]","[1.75048630409262, 1.6499104453184241, 6.14760775837355]","[2.244240799498343, 1.5825552229643076, 0.3642561367219379]","[2.7102368305382916, 1.7602254460221816, 0.8492338362638729]","[3.0395603099879605, 2.1345263738218936, 1.3143818986485507]","[3.1656527555896745, 2.6154540664126715, 1.8044575370468143]","[3.0503317459969757, 3.099978570081249, 2.3042570625047456]","[2.7165823856469817, 3.47033003330743, 2.8042501874331367]","[2.246148480436423, 3.6353345415152263, 3.304242855991739]","[1.754461815397935, 3.5546488320197573, 3.804239087083267]","[1.364030531102601, 3.249974165494333, 4.304238929720769]","[1.1688350385456678, 2.7985857622059873, 4.804238825075664]","[1.214382292700455, 2.3040928498740922, 5.304238690536303]","[1.4925822948940128, 1.8902512677367689, 5.804238116412498]","[1.9351630315535857, 1.6604308555712155, 0.02104942920072972]","[2.4334097828755024, 1.6709202145364623, 0.5204835966547949]","[2.866083942713533, 1.9189308346029579, 0.9996802485334151]","[3.1349971632082134, 2.3374439634639885, 1.4853330897637487]","[3.177461419309489, 2.8331052721649748, 1.9817154250849776]","[2.978406456936379, 3.289942162567521, 2.4816770988945898]","[2.5846466293420938, 3.5954878230965535, 2.981670286433464]","[2.092475523057348, 3.6748749275864574, 3.4816632998225536]","[1.6232941808040762, 3.5088708899787875, 3.9816620524399755]","[1.2943709051903622, 3.141862201477389, 4.481661930990905]","[1.181515371411966, 2.6614427180277063, 4.981661823548209]","[1.3139336895665255, 2.181623505653498, 5.481661579155601]","[1.6608452158545641, 1.8233393144727494, 5.981660906584909]","[2.1368723614799943, 1.6752913935056126, 0.19846057809177964]","[2.6256085787117245, 1.7735800859935968, 0.6951509335158894]","[3.0084909933017205, 2.092916577848436, 1.1656240112005571]","[3.2044642946571487, 2.549833554671196, 1.6549860176542157]","[3.1626000946803825, 3.0459185618797506, 2.1543776216387096]","[2.8879069966038102, 3.4619317217785057, 2.6543706428415597]","[2.447429024693865, 3.695307999249905, 3.15436368670893]","[1.9490273539117795, 3.6889425489351484, 3.6543579113094067]","[1.5161779844106917, 3.4452506018329268, 4.154357541232693]","[1.2561535018904664, 3.028685275981908, 4.654357432064943]","[1.2274505818488497, 2.534631729742739, 5.1543573207528395]","[1.440633648722463, 2.0841060223023002, 5.654356889841864]","[1.8439746279042835, 1.7907473134444913, 6.154355959355868]","[2.3382318556343304, 1.72671785223105, 0.3710852161290692]","[2.802903902716357, 1.9075273968878181, 0.8615668431939445]","[3.1270453363071438, 2.2852310691360396, 1.34546030877493]","[3.238173184896095, 2.7700206906976748, 1.8396903997947902]","[3.1058334040446125, 3.250264572761809, 2.3395847479137535]","[2.759343924689858, 3.6084597592950773, 2.839578143190498]","[2.2833614253719206, 3.7567496821409954, 3.3395708235479127]","[1.7947865889433432, 3.6587386457393416, 3.839566630699052]","[1.4151090678453018, 3.3402534121708896, 4.339566453804329]","[1.236373522486098, 2.883262344102386, 4.839566349651394]","[1.2992943619431379, 2.3911838830750995, 5.33956622954083]","[1.5919238406983425, 1.987445778385701, 5.839565670588392]","[2.04228549397776, 1.7734294320561388, 0.05637641569511409]","[2.539905372179149, 1.801513216373465, 0.5557992356370737]","[2.96340797415316, 2.0645561590100083, 1.036558667211797]","[3.2165586572474036, 2.4924475716954766, 1.5259537499508808]","[3.238869874648709, 2.9896594198612387, 2.024756563699632]","[3.020265872226932, 3.4376654632892922, 2.5247495123423107]","[2.6140823197219962, 3.725712115669425, 3.0247427767893926]","[2.118928098398201, 3.783835603849338, 3.5247355228651105]","[1.6571977612596294, 3.5977298507594475, 4.02473393523434]","[1.3439638475315425, 3.2163890044005, 4.524733809298141]","[1.252115273590204, 2.732693825119957, 5.024733703905095]","[1.4049015457926464, 2.2595464582231624, 5.524733530461535]","[1.766912079444201, 1.91653823215097, 6.024732863374126]","[2.248847384251347, 1.7891313332480914, 0.24153117287883852]","[2.732881250886293, 1.9083683237632734, 0.7385014017932268]","[3.101145165894007, 2.2436156325312533, 1.2208088946491538]","[3.2716623241301743, 2.7107676878333935, 1.7136313690171923]","[3.2007750754015705, 3.203675546326356, 2.2133755648646107]","[2.9021579278447964, 3.6025973688237025, 2.713369110292103]","[2.4486366065519083, 3.809617455865534, 3.213362553931059]","[1.9514591929686755, 3.7738736902802965, 3.713356581076728]","[1.533717729573818, 3.5050737716551135, 4.213356205157375]","[1.2986092156048958, 3.0737194105696437, 4.713356091773113]"
